transaction_id,Time,Amount,Class,account_id,account_age_days,credit_limit,account_balance,cardholder_age,cardholder_city,cardholder_state,cardholder_zip,merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,merchant_country,channel,pos_entry_mode,is_foreign_transaction,distance_from_home_km,num_transactions_24h,num_declined_7d,avg_amount_30d
TXN_000000,121958,22.80044394438993,0,ACC_614241,2211,15000,12865.869333908138,56,City_TX_7,TX,85287,MER_18724,Holiday Inn,hotel,City_MD_4,MD,U.S.,online,online,0,95.89205660454009,3,0,229.12067171370254
TXN_000001,146867,856.8647617570308,0,ACC_987099,3227,10000,6619.170741886341,40,City_AZ_8,AZ,16907,MER_15084,AMC Theatres,entertainment,City_MI_9,MI,United States,atm,manual,0,29.96586411462937,6,0,397.6935272166486
TXN_000002,131932,-153.5453236058145,0,ACC_452215,1492,25000,2295.2138739156962,61,City_NY_1,NY,38114,MER_44810,eBay,online_retail,City_IL_3,IL,United States,online,online,0,13.478617605394408,3,0,708.7671113349711
TXN_000003,103694,483.9777998545755,0,ACC_198064,2408,25000,6511.395894717127,65,City_IL_3,IL,35009,MER_92277,RxCrossroads,pharmacy,City_MD_6,MD,United States,in-store,swipe,0,31.501217376253337,5,0,50.35153359808707
TXN_000004,119879,473.1266754535364,0,ACC_468655,3484,15000,4560.808358115396,64,City_AZ_7,AZ,94846,MER_92297,Best Buy Online,online_retail,City_NJ_2,NJ,United States,in-store,swipe,0,57.7640960337225,2,1,148.344602996922
TXN_000005,110268,931.8978682805785,0,ACC_582605,3583,5000,3624.9627742914154,31,City_NY_9,NY,60241,MER_88872,Safeway,grocery,City_OH_1,OH,US,in-store,swipe,0,3.445989163788344,2,1,87.27938571031196
TXN_000006,54886,651.7810170345552,0,ACC_507974,1337,25000,19053.41800683396,32,City_OH_8,OH,45725,MER_30872,Comcast,utilities,City_IL_5,IL,USA,in-store,contactless,0,7.707144483044035,5,0,133.3174446551882
TXN_000007,137337,556.2188974100026,0,ACC_558996,1219,1000,365.8508168404244,38,City_MO_8,MO,28996,MER_88950,Publix,grocery,City_CO_8,CO,us,in-store,chip,0,62.924245169374956,5,1,262.4682594041186
TXN_000008,168266,320.1470248399033,0,ACC_870974,717,10000,3969.8979678672918,50,City_WA_9,WA,16047,MER_80333,Trader Joes,grocery,City_VA_2,VA,US,in-store,chip,0,73.07733828256934,4,0,92.23796529878749
TXN_000009,87498,1070.3992261096303,0,ACC_627466,4691,1000,42.28358731236276,64,City_MI_3,MI,38767,MER_78843,Safeway,grocery,City_MD_9,MD,us,online,online,0,16.547954401345514,4,0,313.16198157374095
TXN_000010,112727,24.76563424757455,0,ACC_656119,1237,5000,1373.3994124891146,68,City_WA_8,WA,26347,MER_12596,Target.com,online_retail,City_MA_8,MA,United States,online,online,0,11.732135716470173,0,0,136.91687977835943
TXN_000011,126324,540.0452047594663,0,ACC_233248,1924,1000,428.7209183187579,57,City_TN_1,TN,34102,MER_27167,Publix,grocery,City_VA_3,VA,us,online,online,0,8.309379223031943,3,0,226.13886872479526
TXN_000012,16023,2008.321946824084,0,ACC_203306,4952,1000,111.1338940659947,40,City_NC_8,NC,14263,MER_97844,BP,gas_station,City_FL_1,FL,U.S.,online,online,0,17.266334371544552,4,0,178.74262154619444
TXN_000013,41090,382.63649212381677,0,ACC_264726,1841,2000,861.2081754345405,45,City_TX_7,TX,77438,MER_99751,eBay,online_retail,City_VA_4,VA,U.S.,in-store,contactless,0,68.15452115707288,4,0,149.73026112343143
TXN_000014,67221,808.3677528872133,0,ACC_878580,3213,1000,810.5170216449103,32,City_IL_8,IL,40540,MER_87331,Steam,entertainment,City_MO_8,MO,USA,in-store,contactless,0,4.057374670971733,4,1,129.17069574154058
TXN_000015,64820,1161.8944641216774,0,ACC_807910,3827,15000,8283.82453108201,41,City_IN_1,IN,85726,MER_90520,BP,gas_station,City_IN_3,IN,USA,online,online,0,13.610880389032834,4,0,263.43481258841337
TXN_000016,769,112.33466367752544,0,ACC_474169,1674,10000,749.8336228649171,45,City_FL_6,FL,73769,MER_68326,Holiday Inn,hotel,City_MD_2,MD,us,in-store,swipe,0,60.64930482245422,0,0,103.0835785425301
TXN_000017,59735,186.73471918412795,0,ACC_800270,3998,2000,364.1755057775212,31,City_IN_7,IN,50843,MER_87670,Ticketmaster,entertainment,City_TN_7,TN,US,online,online,0,10.735721605643647,6,0,181.55678584028806
TXN_000018,64925,571.2992025799998,0,ACC_190417,2746,10000,4508.171326506284,29,City_NC_5,NC,37690,MER_20782,Walgreens Pharmacy,pharmacy,City_NJ_4,NJ,US,in-store,swipe,0,36.53422153305049,4,1,320.4515448073954
TXN_000019,5311,40070.58325237759,0,ACC_813611,220,10000,3434.1279233072146,70,City_CO_5,CO,12994,MER_52002,LabCorp,healthcare,City_TX_6,TX,United States,in-store,chip,0,12.327089807251546,1,0,248.69614114667255
TXN_000020,103355,611.3721603359194,0,ACC_528638,1365,5000,1703.953342843969,45,City_TX_7,TX,77546,MER_97187,Walmart.com,online_retail,City_TN_5,TN,US,online,online,0,40.85949456230305,2,0,169.2895989207352
TXN_000021,85305,145.28415899711786,0,ACC_111984,4833,5000,2514.020378682053,55,City_MO_3,MO,17377,MER_34022,Quest Diagnostics,healthcare,City_CA_2,CA,USA,online,online,0,99.08599973558219,2,0,33.040224425553205
TXN_000022,159765,200.68679587624638,0,ACC_189312,3136,2000,1110.3522510199691,72,City_NJ_6,NJ,88572,MER_94458,Target.com,online_retail,City_IN_2,IN,US,online,online,0,12.268305159000432,1,0,449.5515675321829
TXN_000023,130608,795.1164734627853,0,ACC_292458,408,25000,18925.462294059536,52,City_WA_7,WA,36467,MER_24618,Netflix,entertainment,City_MO_9,MO,United States,in-store,swipe,0,46.6241711456716,3,0,125.8019390025986
TXN_000024,156730,196.16095834716938,0,ACC_183291,4512,50000,16195.911764468021,69,City_GA_1,GA,10048,MER_27245,CVS Pharmacy,pharmacy,City_WA_2,WA,U.S.,in-store,swipe,0,111.45504127526115,5,0,465.68956761675327
TXN_000025,84478,221.0875209443948,0,ACC_893567,3859,5000,3825.9648444427867,34,City_CA_2,CA,46978,MER_93796,Subway,restaurant,City_IL_8,IL,US,online,online,0,103.11516124164109,3,0,171.7306391898266
TXN_000026,122537,105.33809706279003,0,ACC_624608,645,50000,16084.033382850044,21,City_IN_4,IN,57606,MER_20027,Starbucks,restaurant,City_PA_8,PA,US,in-store,contactless,0,14.218920823971176,5,0,261.836651308668
TXN_000027,149503,122.42955490035423,0,ACC_587387,2360,5000,263.3066974708607,37,City_VA_8,VA,91574,MER_23986,Valero,gas_station,City_CA_1,CA,USA,in-store,chip,0,16.62668438686563,0,0,586.6249428062218
TXN_000028,130523,839.8664548055692,0,ACC_777044,1784,5000,2632.391342272758,45,City_FL_6,FL,83414,MER_13526,Publix,grocery,City_MI_1,MI,us,online,online,0,9.038654071502549,6,1,405.44327423377644
TXN_000029,2747,184.96157177204063,0,ACC_975206,493,10000,5585.072086500738,28,City_WA_1,WA,59222,MER_54361,Kroger,grocery,City_IL_4,IL,U.S.,online,online,0,9.422625099882454,2,0,159.5003355323772
TXN_000030,123855,148.4645297124898,0,ACC_515105,996,2000,1775.6264666815343,25,City_NC_5,NC,58115,MER_77158,Chipotle,restaurant,City_CA_2,CA,CA,online,online,1,16.955017082565117,4,0,258.5456651753524
TXN_000031,65725,401.0003579714437,0,ACC_851209,4297,10000,6897.582597593507,25,City_OH_7,OH,99606,MER_48286,Ticketmaster,entertainment,City_NJ_1,NJ,United States,in-store,contactless,0,5.59479997728548,3,0,224.85523506942138
TXN_000032,129981,316.71136151118577,0,ACC_460215,3188,15000,13078.260298045763,61,City_IL_6,IL,50647,MER_39533,Rite Aid,pharmacy,City_OH_9,OH,United States,in-store,chip,0,31.0438828049042,1,0,308.3293567789402
TXN_000033,84654,43986.84358906796,0,ACC_804259,3654,10000,8629.298497308591,55,City_IL_9,IL,64607,MER_28316,Shell,gas_station,City_MO_3,MO,us,online,online,0,19.213397338032845,2,0,379.1730840687905
