transaction_id,transaction_timestamp,transaction_amount,is_fraud,account_id,account_age_days,credit_limit,account_balance,cardholder_age,cardholder_city,cardholder_state,cardholder_zip,merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,merchant_country,channel,pos_entry_mode,is_foreign_transaction,distance_from_home_km,num_transactions_24h,num_declined_7d,avg_amount_30d,ingestion_timestamp,transaction_date,transaction_hour,is_weekend,amount_category,utilization_rate,is_high_risk_context
TXN_000000,2020-01-02 09:52:38,22.80044394438993,0,ACC_614241,2211,15000,12865.869333908138,56,City_TX_7,TX,85287,MER_18724,Holiday Inn,hotel,City_MD_4,MD,US,online,online,0,95.89205660454007,3,0,229.1206717137025,2026-03-29 20:37:40,2020-01-02,9,0,low,0.8577246222605426,0
TXN_000001,2020-01-02 16:47:47,856.8647617570308,0,ACC_987099,3227,10000,6619.170741886341,40,City_AZ_8,AZ,16907,MER_15084,AMC Theatres,entertainment,City_MI_9,MI,US,atm,manual,0,29.96586411462937,6,0,397.6935272166486,2026-03-29 20:37:40,2020-01-02,16,0,high,0.6619170741886341,0
TXN_000003,2020-01-02 04:48:14,483.9777998545755,0,ACC_198064,2408,25000,6511.395894717127,65,City_IL_3,IL,35009,MER_92277,RxCrossroads,pharmacy,City_MD_6,MD,US,in-store,swipe,0,31.501217376253337,5,0,50.35153359808707,2026-03-29 20:37:40,2020-01-02,4,0,medium,0.2604558357886851,0
TXN_000004,2020-01-02 09:17:59,473.1266754535364,0,ACC_468655,3484,15000,4560.808358115396,64,City_AZ_7,AZ,94846,MER_92297,Best Buy Online,online_retail,City_NJ_2,NJ,US,in-store,swipe,0,57.7640960337225,2,1,148.344602996922,2026-03-29 20:37:40,2020-01-02,9,0,medium,0.3040538905410264,0
TXN_000005,2020-01-02 06:37:48,931.8978682805785,0,ACC_582605,3583,5000,3624.962774291416,31,City_NY_9,NY,60241,MER_88872,Safeway,grocery,City_OH_1,OH,US,in-store,swipe,0,3.445989163788344,2,1,87.27938571031196,2026-03-29 20:37:40,2020-01-02,6,0,high,0.7249925548582832,0
TXN_000006,2020-01-01 15:14:46,651.7810170345552,0,ACC_507974,1337,25000,19053.41800683396,32,City_OH_8,OH,45725,MER_30872,Comcast,utilities,City_IL_5,IL,US,in-store,contactless,0,7.707144483044035,5,0,133.3174446551882,2026-03-29 20:37:40,2020-01-01,15,0,high,0.7621367202733583,0
TXN_000007,2020-01-02 14:08:57,556.2188974100026,0,ACC_558996,1219,1000,365.8508168404244,38,City_MO_8,MO,28996,MER_88950,Publix,grocery,City_CO_8,CO,US,in-store,chip,0,62.92424516937496,5,1,262.4682594041186,2026-03-29 20:37:40,2020-01-02,14,0,medium,0.36585081684042436,0
TXN_000008,2020-01-02 22:44:26,320.1470248399033,0,ACC_870974,717,10000,3969.897967867292,50,City_WA_9,WA,16047,MER_80333,Trader Joes,grocery,City_VA_2,VA,US,in-store,chip,0,73.07733828256934,4,0,92.23796529878749,2026-03-29 20:37:40,2020-01-02,22,0,medium,0.39698979678672924,0
TXN_000009,2020-01-02 00:18:18,1070.3992261096305,0,ACC_627466,4691,1000,42.28358731236276,64,City_MI_3,MI,38767,MER_78843,Safeway,grocery,City_MD_9,MD,US,online,online,0,16.547954401345514,4,0,313.16198157374095,2026-03-29 20:37:40,2020-01-02,0,0,high,0.042283587312362765,0
TXN_000010,2020-01-02 07:18:47,24.76563424757455,0,ACC_656119,1237,5000,1373.3994124891146,68,City_WA_8,WA,26347,MER_12596,Target.com,online_retail,City_MA_8,MA,US,online,online,0,11.732135716470172,0,0,136.91687977835943,2026-03-29 20:37:40,2020-01-02,7,0,low,0.27467988249782294,0
